prop_willing,charged,Commune
1,0,Overall
0.993421052631579,500,Overall
0.9583333333333334,1000,Overall
0.8055555555555556,1500,Overall
0.804093567251462,2000,Overall
0.6615497076023392,2500,Overall
0.6564327485380117,3000,Overall
0.5950292397660819,3500,Overall
0.5950292397660819,4000,Overall
0.5657894736842105,4500,Overall
0.5657894736842105,5000,Overall
0.024853801169590642,5500,Overall
0.024853801169590642,6000,Overall
0.021929824561403508,6500,Overall
0.021929824561403508,7000,Overall
0.021198830409356724,7500,Overall
0.021198830409356724,8000,Overall
0.019736842105263157,8500,Overall
0.019736842105263157,9000,Overall
0.019736842105263157,9500,Overall
0.019736842105263157,10000,Overall
7.309941520467836e-4,10500,Overall
7.309941520467836e-4,11000,Overall
7.309941520467836e-4,11500,Overall
7.309941520467836e-4,12000,Overall
7.309941520467836e-4,12500,Overall
7.309941520467836e-4,13000,Overall
7.309941520467836e-4,13500,Overall
7.309941520467836e-4,14000,Overall
7.309941520467836e-4,14500,Overall
7.309941520467836e-4,15000,Overall
0,15500,Overall
0,16000,Overall
1,0,Andasibe
0.9947368421052631,500,Andasibe
0.968421052631579,1000,Andasibe
0.6368421052631579,1500,Andasibe
0.6368421052631579,2000,Andasibe
0.37894736842105264,2500,Andasibe
0.37894736842105264,3000,Andasibe
0.29473684210526313,3500,Andasibe
0.29473684210526313,4000,Andasibe
0.21052631578947367,4500,Andasibe
0.21052631578947367,5000,Andasibe
0,5500,Andasibe
0,6000,Andasibe
0,6500,Andasibe
0,7000,Andasibe
0,7500,Andasibe
0,8000,Andasibe
0,8500,Andasibe
0,9000,Andasibe
0,9500,Andasibe
0,10000,Andasibe
0,10500,Andasibe
0,11000,Andasibe
0,11500,Andasibe
0,12000,Andasibe
0,12500,Andasibe
0,13000,Andasibe
0,13500,Andasibe
0,14000,Andasibe
0,14500,Andasibe
0,15000,Andasibe
0,15500,Andasibe
0,16000,Andasibe
1,0,Moramanga
0.9932088285229203,500,Moramanga
0.9567062818336163,1000,Moramanga
0.83276740237691,1500,Moramanga
0.8310696095076401,2000,Moramanga
0.7071307300509337,2500,Moramanga
0.7011884550084889,3000,Moramanga
0.6434634974533107,3500,Moramanga
0.6434634974533107,4000,Moramanga
0.6230899830220713,4500,Moramanga
0.6230899830220713,5000,Moramanga
0.028862478777589132,5500,Moramanga
0.028862478777589132,6000,Moramanga
0.025466893039049237,6500,Moramanga
0.025466893039049237,7000,Moramanga
0.02461799660441426,7500,Moramanga
0.02461799660441426,8000,Moramanga
0.022920203735144314,8500,Moramanga
0.022920203735144314,9000,Moramanga
0.022920203735144314,9500,Moramanga
0.022920203735144314,10000,Moramanga
8.488964346349745e-4,10500,Moramanga
8.488964346349745e-4,11000,Moramanga
8.488964346349745e-4,11500,Moramanga
8.488964346349745e-4,12000,Moramanga
8.488964346349745e-4,12500,Moramanga
8.488964346349745e-4,13000,Moramanga
8.488964346349745e-4,13500,Moramanga
8.488964346349745e-4,14000,Moramanga
8.488964346349745e-4,14500,Moramanga
8.488964346349745e-4,15000,Moramanga
0,15500,Moramanga
0,16000,Moramanga
